date,open,high,low,close,volume,turnover
2024-01-02,18.5132,18.5729,18.1248,18.1447,10134188.0,186620669.68
2024-01-03,18.0252,18.1248,17.6069,17.7663,11265810.0,201184146.12
2024-01-04,17.7165,17.7364,17.1588,17.3181,12219873.0,213332026.4
2024-01-05,17.4177,17.4675,16.8003,16.9198,11523294.0,198135645.89
2024-01-08,16.8302,16.8302,16.2227,16.2326,12800902.0,210457638.06
2024-01-09,16.2526,16.9397,16.2526,16.621,14883914.0,248987994.94
2024-01-10,16.5314,16.86,16.2426,16.4916,9047028.0,150489141.59
2024-01-11,16.4816,17.0194,16.4318,16.87,9840584.0,165915782.99
2024-01-12,16.7605,16.9298,16.5314,16.5513,8459300.0,141851635.0
2024-01-15,16.392,16.631,16.1131,16.3621,8438102.0,138607254.82
2024-01-16,16.382,16.4617,16.0036,16.2127,8815788.0,143410426.08
2024-01-17,16.2028,16.2924,15.4359,15.4459,13511595.0,214004599.19
2024-01-18,15.3862,15.5953,15.0077,15.5057,16783272.0,257025269.74
2024-01-19,15.5057,15.6052,15.1372,15.1571,11290570.0,173938279.1
2024-01-22,15.0974,15.2467,14.1513,14.3206,17050956.0,251669229.91
2024-01-23,14.3405,14.7588,14.1413,14.46,14385463.0,209075218.7
2024-01-24,14.5397,14.7189,13.9421,14.6393,14968520.0,215834110.87
2024-01-25,14.5994,15.0376,14.45,14.9878,16545942.0,246146437.18
2024-01-26,14.9281,15.0077,14.6193,14.6592,12116723.0,180400407.8
2024-01-29,14.7289,14.8185,14.0915,14.1214,13000064.0,187138055.89
2024-01-30,14.0816,14.4401,13.6932,13.6932,12598500.0,177368403.0
2024-01-31,13.5836,13.733,12.9363,13.016,19737794.0,262979737.71
2024-02-01,12.9762,13.3446,12.7471,12.9961,15425274.0,202187561.68
2024-02-02,13.1355,13.2948,12.0301,12.5778,18195486.0,233188090.06
2024-02-05,12.3786,12.5878,11.323,11.5321,31208323.0,368448517.44
2024-02-06,11.4326,12.6874,11.2732,12.6077,29427939.0,356908444.5
2024-02-07,12.6874,13.8724,12.6874,13.8724,43289722.0,593206402.76
2024-02-08,14.1015,14.5994,13.7231,14.4401,36520592.0,523880368.88
2024-02-19,14.6193,14.689,14.0716,14.4799,28685585.0,414809388.87
2024-02-20,14.2907,14.5596,14.1015,14.5198,16803698.0,242426977.65
2024-02-21,14.3505,15.1272,14.2409,14.5795,26490080.0,394003843.27
2024-02-22,14.5795,15.1372,14.5198,15.1372,22159689.0,332015375.46
2024-02-23,15.2069,15.7048,14.9878,15.6451,24809175.0,382872322.4
2024-02-26,16.6509,17.2086,16.1629,17.2086,62657394.0,1065011464.32
2024-02-27,16.9298,17.7165,16.6111,17.7065,58842479.0,1008037361.29
2024-02-28,17.7065,17.7065,16.1629,16.2426,52777870.0,902937759.41
2024-02-29,16.1829,17.3679,16.0633,17.348,40746040.0,691908403.2
2024-03-01,17.348,18.2841,17.2683,18.2244,50917775.0,908098453.32
2024-03-04,18.4036,19.2202,17.6866,18.9514,56422039.0,1044791884.27
2024-03-05,18.6227,18.8916,18.1348,18.1845,39636704.0,734783137.62
2024-03-06,18.0252,18.8219,18.0252,18.5929,37977192.0,704408772.86
2024-03-07,19.1804,19.6983,18.314,18.324,51141595.0,979771867.16
2024-03-08,18.1845,19.0211,18.0352,18.9314,34560841.0,643407506.01
2024-03-11,18.5729,18.9115,18.4335,18.9115,25226626.0,473536625.94
2024-03-12,18.8219,19.4194,18.6725,19.2999,35837844.0,689112340.83
2024-03-13,19.3198,19.3597,18.9215,19.041,26813808.0,514737276.82
2024-03-14,19.1107,19.4991,18.4833,18.7323,33476032.0,635813315.45
2024-03-15,18.5431,19.2999,18.4833,19.27,33365266.0,635816315.65
2024-03-18,19.4194,20.0966,19.031,19.9671,47877363.0,941984461.74
2024-03-19,19.7182,20.2958,19.529,19.6584,37403177.0,748148205.46
2024-03-20,19.7381,19.9771,19.4194,19.7381,27441028.0,542977589.5
2024-03-21,19.7182,19.7879,19.1605,19.2999,27339683.0,532641152.3
2024-03-22,19.1306,19.2202,18.6725,18.8119,27066687.0,513857024.95
2024-03-25,18.7024,18.9713,17.9057,17.9953,29204605.0,540844909.67
2024-03-26,17.9057,18.075,17.4078,17.8659,24579937.0,438953114.11
2024-03-27,17.8957,17.9256,17.0592,17.0891,18273031.0,319653529.31
2024-03-28,17.0791,18.802,17.0791,18.6227,42048642.0,772820097.7
2024-03-29,18.5331,19.1406,18.2841,19.0509,40806945.0,767523823.76
2024-04-01,19.1705,19.3696,18.8717,19.3198,29806053.0,575300018.68
2024-04-02,19.28,19.29,18.6526,18.8717,23422603.0,444993048.78
2024-04-03,18.6526,18.8119,18.0451,18.075,25349336.0,464677651.86
2024-04-08,17.8957,18.2144,17.5671,17.587,15716120.0,281044502.34
2024-04-09,17.587,18.1049,17.587,17.826,14625156.0,262178667.63
2024-04-10,18.085,18.2244,17.3978,17.5771,17924732.0,319771299.29
2024-04-11,17.5771,17.9655,17.358,17.5472,15107591.0,267710946.73
2024-04-12,17.5273,17.6269,17.109,17.1389,14005286.0,243997615.52
2024-04-15,17.1488,17.358,16.6111,16.8999,16662116.0,283882723.52
2024-04-16,16.6708,16.9098,15.8144,15.8542,20715364.0,337140674.67
2024-04-17,16.1131,17.1986,16.1032,17.1488,21407969.0,360608317.34
2024-04-18,17.0293,17.4775,16.6808,17.0094,20952921.0,359520650.68
2024-04-19,16.8302,16.9198,16.5613,16.6708,14358203.0,241140855.76
2024-04-22,16.5214,16.7704,16.2326,16.3322,13105643.0,216350448.51
2024-04-23,16.4717,17.0293,16.3422,16.7206,18675631.0,312828521.55
2024-04-24,16.7306,16.9995,16.621,16.9098,17443693.0,294756837.98
2024-04-25,16.88,16.9298,16.5712,16.6509,14914568.0,250921525.15
2024-04-26,16.6609,17.2186,16.6609,17.1787,21429155.0,366271721.7
2024-04-29,17.9157,18.0451,17.5372,17.8659,26392026.0,471524039.74
2024-04-30,16.8302,16.8302,16.0833,16.0833,55704455.0,909873601.75
2024-05-06,16.153,16.9696,16.153,16.5712,34636507.0,579112791.02
2024-05-07,16.4816,16.6609,16.3223,16.5214,16439253.0,272405596.69
2024-05-08,16.3422,16.4119,15.8343,15.8741,20183987.0,324653724.29
2024-05-09,15.9239,16.3721,15.8841,16.2426,15967600.0,260044358.84
2024-05-10,16.2924,16.382,15.8443,15.914,15149807.0,242632407.0
2024-05-13,15.7347,15.7546,15.2965,15.3563,16609297.0,257871548.06
2024-05-14,15.3862,15.8343,15.3862,15.4857,11341400.0,177088683.0
2024-05-15,15.4359,15.5853,15.2766,15.3662,8541000.0,132249990.0
2024-05-16,15.3862,15.5256,15.2268,15.2567,11936487.0,184162921.41
2024-05-17,15.2567,15.4758,15.0974,15.4658,10996048.0,168972880.74
2024-05-20,15.4758,15.8044,15.3961,15.675,12958501.0,203535758.6
2024-05-21,15.5355,15.5754,15.3164,15.3862,9086101.0,140620333.47
2024-05-22,15.3463,15.5256,15.2866,15.4957,7704671.0,119427220.34
2024-05-23,15.4559,15.4658,14.9978,15.0376,11705200.0,178388323.0
2024-05-24,15.0376,15.1073,14.6393,14.6393,12184812.0,181252245.51
2024-05-27,14.6492,14.9579,14.3505,14.938,10677395.0,157001980.63
2024-05-28,14.8384,15.0177,14.709,14.7588,8243500.0,122916385.0
2024-05-29,14.7388,14.9181,14.6393,14.7488,6571002.0,97427510.6
2024-05-30,14.6393,15.0077,14.5496,14.8783,8187056.0,121904755.16
2024-05-31,14.8384,15.2567,14.8384,15.0774,12003872.0,182228380.36
2024-06-03,15.177,15.2866,14.8783,15.0376,13528711.0,205389243.43
2024-06-04,15.0376,15.0575,14.699,14.9978,8490105.0,126537724.76
2024-06-05,14.938,15.187,14.8583,14.8783,7460700.0,112548122.0
2024-06-06,14.8783,15.0476,14.3505,14.46,12822524.0,187756623.68
2024-06-07,14.57,14.74,14.35,14.59,8382500.0,122152486.0
2024-06-11,14.43,14.7,14.14,14.67,10044867.0,145138035.29
2024-06-12,14.65,15.58,14.56,15.34,26019590.0,397563758.7
2024-06-13,15.29,15.86,15.22,15.83,27806269.0,434269308.3
2024-06-14,15.84,15.89,15.38,15.56,16523781.0,256535293.38
2024-06-17,15.4,15.62,15.34,15.53,9652656.0,149763811.44
2024-06-18,15.6,15.73,15.47,15.65,11695652.0,182483989.2
2024-06-19,15.58,15.63,15.3,15.31,11414200.0,175822214.48
2024-06-20,15.2,15.37,14.77,14.82,11407277.0,171528672.7
2024-06-21,14.72,14.9,14.6,14.71,7722910.0,113592814.2
2024-06-24,14.52,14.81,14.25,14.25,10012286.0,145176944.92
2024-06-25,14.29,14.9,14.29,14.41,13972560.0,204241100.26
2024-06-26,14.34,14.77,14.08,14.76,11761895.0,170055025.45
2024-06-27,14.7,14.72,14.15,14.18,12846316.0,185015291.32
2024-06-28,14.08,14.55,14.03,14.22,11036611.0,158404242.08
2024-07-01,14.27,14.33,13.75,14.26,11668620.0,163491667.64
2024-07-02,14.21,14.35,14.06,14.11,9997900.0,141860577.0
2024-07-03,14.14,14.21,13.85,13.94,7428392.0,103870071.27
2024-07-04,14.11,14.24,13.65,13.7,11422700.0,159310534.21
2024-07-05,13.6,13.66,13.3,13.51,11662600.0,156955992.0
2024-07-08,13.47,13.48,12.99,13.05,9763881.0,128665050.82
2024-07-09,13.05,13.66,12.9,13.63,14543212.0,193977951.93
2024-07-10,13.56,13.94,13.51,13.69,11318992.0,155724926.7
2024-07-11,13.63,13.71,12.81,13.1,40817357.0,534630899.64
2024-07-12,12.98,12.99,12.51,12.62,25468476.0,322852152.03
2024-07-15,12.51,12.6,12.34,12.44,12272394.0,152694805.79
2024-07-16,12.39,12.64,12.33,12.56,11551930.0,144325529.54
2024-07-17,12.52,12.65,12.35,12.42,10063900.0,125436254.0
2024-07-18,12.27,12.47,12.1,12.37,12515250.0,153430640.81
2024-07-19,12.29,12.65,12.27,12.52,12446304.0,155531677.01
2024-07-22,12.54,12.67,12.45,12.59,10785887.0,135625201.74
2024-07-23,12.65,12.69,12.15,12.17,11058547.0,136871712.36
2024-07-24,12.03,12.23,11.94,11.96,9798680.0,118173382.24
2024-07-25,11.92,12.25,11.88,12.04,8819100.0,106381021.63
2024-07-26,12.08,12.42,12.08,12.34,13225557.0,162639284.47
2024-07-29,12.35,12.38,12.13,12.17,8126350.0,99185290.61
2024-07-30,12.1,12.47,11.96,12.29,10493042.0,128366556.25
2024-07-31,12.29,13.28,12.28,13.27,29797425.0,385111133.0
2024-08-01,13.42,13.67,13.22,13.52,30060541.0,404018281.84
2024-08-02,13.35,13.58,13.14,13.18,16496252.0,220347986.8
2024-08-05,13.06,13.4,12.83,12.83,16042841.0,210178014.62
2024-08-06,13.09,13.25,12.77,13.0,11744200.0,152471379.0
2024-08-07,13.09,13.3,12.94,12.96,11999390.0,156933900.02
2024-08-08,12.89,12.98,12.58,12.87,10419344.0,133229685.39
2024-08-09,12.98,13.09,12.77,12.77,8429100.0,109121277.0
2024-08-12,12.77,12.81,12.52,12.62,6725100.0,84937345.0
2024-08-13,12.57,12.71,12.44,12.68,7061500.0,88940585.0
2024-08-14,12.68,12.73,12.45,12.54,6010856.0,75577231.28
2024-08-15,12.48,13.07,12.47,12.93,16200613.0,208659154.83
2024-08-16,12.86,13.05,12.81,12.82,9279343.0,119849791.72
2024-08-19,12.76,13.04,12.76,12.84,9048280.0,116780574.52
2024-08-20,12.81,12.83,12.4,12.46,9872304.0,123782378.62
2024-08-21,12.49,13.1,12.46,12.5,15257191.0,193536504.74
2024-08-22,12.44,12.55,12.05,12.08,12763892.0,155911331.51
2024-08-23,12.06,12.15,11.94,12.09,8060800.0,97109091.57
2024-08-26,12.27,12.43,12.07,12.12,8232700.0,100796026.08
2024-08-27,12.01,12.04,11.63,11.66,11872900.0,139515622.0
2024-08-28,11.62,11.95,11.55,11.79,8227202.0,96802563.79
2024-08-29,11.72,12.41,11.68,12.24,13742215.0,166975303.45
2024-08-30,12.1,12.41,11.86,12.14,22120391.0,269937834.96
2024-09-02,12.11,12.16,11.75,11.75,11320200.0,134907515.0
2024-09-03,11.81,12.18,11.76,12.03,9583954.0,114870935.08
2024-09-04,11.91,12.21,11.89,12.07,7707400.0,93001129.0
2024-09-05,12.1,12.34,12.07,12.21,7972247.0,97511140.4
2024-09-06,12.2,12.28,11.91,11.93,6040982.0,72616648.64
2024-09-09,11.92,12.04,11.78,11.9,6145329.0,73115055.54
2024-09-10,11.95,12.08,11.71,12.01,6900620.0,81980039.0
2024-09-11,11.96,12.12,11.87,12.05,6381067.0,76693930.3
2024-09-12,12.08,12.25,11.92,11.93,6313300.0,76388614.0
2024-09-13,11.98,11.98,11.68,11.7,6395100.0,75414565.0
2024-09-18,11.7,11.76,11.42,11.6,5907700.0,68343258.0
2024-09-19,11.7,12.23,11.62,12.06,11899783.0,142674311.5
2024-09-20,12.06,12.08,11.87,12.01,7204234.0,86179338.87
2024-09-23,12.03,12.08,11.87,11.89,5174837.0,61716562.56
2024-09-24,11.98,12.52,11.92,12.5,17706410.0,217194733.6
2024-09-25,12.61,12.96,12.54,12.54,17487800.0,222904879.0
2024-09-26,12.51,13.2,12.51,13.2,20283868.0,261605971.73
2024-09-27,13.4,14.18,13.35,14.08,27057568.0,372029725.2
2024-09-30,14.93,15.49,14.56,15.49,43611016.0,660776972.84
2024-10-08,17.04,17.04,15.58,16.87,49162370.0,815288635.74
