date,open,high,low,close,volume,amount
2023-07-12,28.1464044,28.3203624,27.74978016,27.74978016,2868200,115358141.1
2023-07-13,28.0420296,29.1553608,27.83328,28.77961152,5857511,241500621.44
2023-07-14,28.90486128,28.90486128,28.41777888,28.4943204,2821504,115825860.74
2023-07-17,26.55294912,26.70603216,25.64836752,25.64836752,8218171,305314235.11
2023-07-18,25.43961792,26.441616,25.26565992,26.32332456,8767338,326104608.87
2023-07-19,26.37899112,26.91478176,26.1632832,26.267658,5065133,192197599.05
2023-07-20,26.55990744,26.66428224,25.82232552,25.8849504,3826794,144213850.78
2023-07-21,25.94061696,26.70603216,25.76665896,25.8849504,4773684,179329907.66
2023-07-24,25.84320048,26.4764076,25.7805756,25.90582536,4791803,179049196.53
2023-07-25,26.0436751,26.56553324,25.93536492,26.3390665,5974179,159318379.84
2023-07-26,26.35875926,27.35324364,26.2406027,26.9790812,7819400,213550548.44
2023-07-27,26.8313855,27.19570156,26.66399704,26.75261446,4639089,126594322.03
2023-07-28,26.69353618,27.33355088,26.4867622,27.31385812,5849514,160242172.25
2023-07-31,27.3729364,28.12126128,27.25477984,27.59940314,7114356,200186755.97
2023-08-01,27.78648436,28.4560382,27.11693052,27.23508708,9420008,264893328.19
2023-08-02,27.45170744,27.6190959,27.05785224,27.1760088,5210654,144500937.2
2023-08-03,27.077545,27.85540902,27.04800586,27.83571626,6661642,186764381.52
2023-08-04,27.77663798,27.9637192,27.28431898,27.31385812,5860921,163665359.06
2023-08-07,27.1267769,27.1267769,26.7329217,26.92000292,5246395,143225469.49
2023-08-08,26.66399704,26.94954206,26.5359941,26.67384342,4117765,111693515.3
2023-08-09,26.66399704,28.8991253,26.62461152,28.02279748,13974221,396221698.09
2023-08-10,27.75694522,27.93418006,27.25477984,27.84556264,8890676,248678549.0
2023-08-11,27.65848142,27.9144873,26.95938844,26.96923482,7009441,194824394.16
2023-08-14,26.81169274,26.95938844,26.06336786,26.3882984,6732938,180073627.14
2023-08-15,26.41783754,26.54584048,25.75813008,26.10275338,5487849,144936102.9
