date,open,high,low,close,volume,amount
2023-07-14,25.94377347,26.23411662,25.69214274,25.79537586,13508165,541965331.75
2023-07-17,25.38889545,25.39534752,24.72433224,24.94370262,11525780,445188653.69
2023-07-18,24.89208606,25.20823749,24.47270151,25.07919609,11074386,425875637.36
2023-07-19,24.9695109,25.20823749,24.11783766,24.40818081,18135660,687002455.43
2023-07-20,24.4533453,24.75659259,24.00815247,24.09848145,12554052,473615224.97
2023-07-21,24.12428973,25.163073,23.92427556,24.42108495,20254198,773351777.14
2023-07-24,24.3888246,24.9695109,24.1952625,24.43398909,11468197,435100285.37
2023-07-25,24.73723638,24.9695109,24.47270151,24.89208606,14707894,564710075.67
2023-07-26,24.73078431,25.4856765,24.66626361,25.07274402,16183293,629697702.9
2023-07-27,25.09225622,25.29705116,24.7704356,25.21903404,18661311,478904140.75
2023-07-28,24.9654784,25.60911964,24.39010214,25.57986322,33945906,869742162.21
2023-07-31,26.19424804,28.46649666,26.04796594,27.5985562,73698656,2066123933.45
2023-08-01,28.4274881,28.6225309,27.38400912,27.61806048,44768887,1282162496.6
2023-08-02,27.31574414,27.57905192,26.98417138,27.37425698,27721470,775289392.68
2023-08-03,27.57905192,29.33443712,27.33524842,29.25642,53152540,1550411358.29
2023-08-04,28.87608654,29.19790716,28.4762488,28.64203518,34573135,1018984831.97
2023-08-07,28.32021456,28.72980444,27.9398811,28.10566748,25458122,735989323.79
2023-08-08,27.87161612,28.40798382,27.6473169,28.01789822,20624658,593680569.21
2023-08-09,27.75459044,29.72452272,27.6473169,29.41245424,43360164,1296001937.21
2023-08-10,29.0613772,29.95857408,28.70054802,29.75377914,30469793,917904832.93
2023-08-11,29.75377914,30.21212972,28.768813,28.768813,28508324,858231253.65
2023-08-14,28.21294102,28.7200523,27.8423597,28.61277876,22129995,641381115.16
2023-08-15,28.53476164,28.6225309,27.68632546,28.281206,19712233,565750756.73
2023-08-16,27.99839394,28.55426592,27.71558188,27.71558188,14819621,425828303.76
2023-08-17,27.6960776,27.9886418,27.0134278,27.57905192,19882759,559839480.44
2023-08-18,27.53029122,27.76434258,26.50631652,26.50631652,19109353,527791090.11
2023-08-21,26.77937644,27.36450484,26.35028228,26.71111146,15396642,423846440.67
2023-08-22,26.82813714,27.0621885,26.1357352,26.85739356,17411353,474368055.29
2023-08-23,26.69160718,27.10119706,26.05771808,26.07722236,13295158,360338443.57
2023-08-24,26.19424804,28.0374025,26.14548734,27.82285542,28421251,795695759.2
2023-08-25,27.5497955,28.281206,27.18896632,27.63756476,23480786,666626418.97
2023-08-28,30.0365912,30.15361688,27.92037682,28.1349239,32691473,959193434.54
2023-08-29,28.0861632,29.5977449,27.92037682,29.28567642,33716587,998532271.34
2023-08-30,29.21741144,29.73427486,28.77856514,29.50997564,23671762,710429561.16
2023-08-31,29.28567642,29.47096708,28.97360794,29.0613772,14849996,444410850.09
2023-09-01,29.38319782,29.5002235,28.53476164,28.71030016,13476110,397451685.21
2023-09-04,28.768813,29.13939432,28.50550522,28.63228304,17627016,519648788.09
2023-09-05,28.63228304,28.64203518,27.77409472,27.9886418,21244487,612265636.69
2023-09-06,27.6960776,27.81310328,26.6721029,27.1109492,20815006,578565551.15
2023-09-07,27.1109492,27.33524842,26.4282994,26.44780368,15049122,414355152.29
2023-09-08,26.39904298,26.79888072,26.30152158,26.36978656,11416563,310756836.97
2023-09-11,26.330778,27.60830834,26.17474376,27.08169278,22033631,610628552.31
2023-09-12,27.0134278,27.32549628,26.75012002,26.94516282,14679404,407158353.9
2023-09-13,26.7696243,27.08169278,26.20400018,26.53557294,13541830,368384570.68
2023-09-14,26.330778,26.7208636,26.12598306,26.5258208,10329913,280135867.43
2023-09-15,26.6721029,28.7200523,26.32102586,28.00814608,39092774,1114138632.08
2023-09-18,27.793599,28.43724024,27.72533402,28.20318888,23222895,669777655.76
2023-09-19,27.90087254,28.39823168,27.38400912,27.66682118,16986719,483762974.18
2023-09-20,27.51078694,27.83260756,27.13045348,27.39376126,14265465,400576418.98
2023-09-21,27.02317994,27.31574414,26.68185504,26.7696243,14392227,396855045.46
2023-09-22,26.5745815,27.3547527,26.36978656,27.21822274,19863802,548102529.61
2023-09-25,27.00367566,28.46649666,26.90615426,28.26170172,35251540,1010742426.01
2023-09-26,28.14467604,28.6225309,27.793599,28.41773596,20518850,593597950.82
2023-09-27,28.54451378,30.24138614,28.45674452,30.0853519,40742398,1231786559.61
2023-09-28,30.231634,30.89477952,29.95857408,30.3291554,30662465,955320731.54
2023-10-09,29.70501844,29.99758264,29.02236864,29.90006124,28284524,856065689.95
2023-10-10,29.90981338,30.20237758,29.12964218,29.16865074,17170535,520039105.61
2023-10-11,29.3539414,32.06503632,29.3539414,31.42139508,44167214,1412108383.58
2023-10-12,31.5969336,31.95776278,31.03130948,31.66519858,27204693,877387952.05
2023-10-13,31.21660014,31.87974566,31.1093266,31.24585656,22721082,731672994.38
2023-10-16,31.36288224,31.7919764,30.33890754,30.61196746,25877764,820766367.95
2023-10-17,30.68998458,31.28486512,30.3779161,30.78750598,17931499,564855254.35
2023-10-18,30.44618108,30.45593322,29.56848848,29.744027,20313589,621988584.72
2023-10-19,29.48071922,29.88055696,29.0613772,29.08088148,20067373,605217226.74
2023-10-20,28.768813,29.0126165,28.01789822,28.21294102,22054804,640443052.33
2023-10-23,28.17393246,28.78831728,27.70582974,28.34947098,18187659,525666845.68
2023-10-24,28.56401806,28.56401806,27.1109492,27.9398811,21171296,604457272.68
2023-10-25,28.22269316,28.56401806,26.818385,26.8671457,29436142,832759167.28
2023-10-26,26.330778,27.18896632,26.1844959,26.92565854,21739321,594816272.27
2023-10-27,26.70135932,28.94435152,26.50631652,28.7200523,37144560,1064668240.33
2023-10-30,28.4762488,33.13777172,28.29095814,32.33809624,74877981,2407896884.63
2023-10-31,32.2795834,33.23529312,31.61643788,32.4258655,48721543,1619126235.96
2023-11-01,32.4258655,32.67942114,31.65544644,31.87974566,29443439,965739606.68
2023-11-02,32.12354916,32.48437834,31.57742932,31.67495072,32855846,1078335852.12
2023-11-03,31.67495072,32.0357799,31.2556087,31.63594216,31486778,1023237499.56
2023-11-06,32.89396822,35.09795186,32.38685694,34.25926782,60577739,2100559921.46
2023-11-07,33.9862079,35.6928324,33.83017366,34.41530206,48356472,1719635474.51
2023-11-08,34.15199428,36.06341372,34.15199428,35.04919116,43034918,1553989820.33
2023-11-09,34.620097,35.28324252,33.70339584,33.80091724,36618832,1286168609.41
2023-11-10,33.36207094,34.30802852,33.28405382,33.89843864,24318786,845718968.45
2023-11-13,34.4250542,34.78588338,33.4498402,33.70339584,24919569,865336450.94
2023-11-14,33.8886865,34.49331918,33.5473616,33.97645576,21587094,751208965.03
2023-11-15,35.4002682,36.082918,34.3275328,34.65910556,37593758,1346877046.5
2023-11-16,34.20075498,34.620097,32.99148962,33.03049818,35508063,1222029071.19
2023-11-17,32.7671904,33.644883,32.74768612,33.34256666,22355448,760773787.02
2023-11-20,33.4986009,33.95695148,32.8647118,33.47909662,26336688,901863540.95
2023-11-21,33.5473616,33.89843864,32.63066044,32.69892542,29477927,1000927513.29
2023-11-22,32.5721476,32.79644682,31.3043694,31.36288224,32978051,1077993206.87
2023-11-23,31.47015578,32.02602776,31.39213866,31.67495072,21584686,700549235.01
2023-11-24,31.75296784,31.7919764,31.1093266,31.33362582,16813876,540518035.43
2023-11-27,31.17759158,31.61643788,30.78750598,31.46040364,21077362,677013470.5
2023-11-28,31.46040364,32.80619896,31.32387368,32.35760052,30967638,1027238092.46
2023-11-29,32.36735266,32.60140402,31.9382585,32.1333013,17781155,588794540.67
2023-11-30,31.94801064,32.79644682,31.8894978,32.5721476,19987368,664894887.11
2023-12-01,32.56239546,32.8159511,31.78222426,32.31859196,18695622,619361485.02
2023-12-04,32.0845406,32.0845406,29.03212078,29.12964218,49095376,1505593985.04
2023-12-05,29.07112934,29.4514628,28.41773596,28.51525736,27507416,815659451.56
2023-12-06,28.56401806,29.0613772,28.281206,28.66153946,24284665,712720043.33
2023-12-07,28.31046242,28.4762488,27.73508616,28.19343674,24233378,697403973.55
2023-12-08,28.20318888,28.43724024,27.793599,28.4274881,22128943,639260110.78
2023-12-11,27.95938538,29.05162506,27.83260756,28.93459938,22738452,661851714.44
2023-12-12,28.9150951,28.94435152,28.281206,28.69079588,16916192,495636704.53
2023-12-13,28.66153946,28.88583868,28.00814608,28.05690678,17658562,513606861.07
2023-12-14,28.54451378,29.8903091,28.54451378,28.9638558,33228597,995906880.44
2023-12-15,29.11989004,29.82204412,28.71030016,28.93459938,23388912,699964913.32
2023-12-18,28.46649666,29.4514628,28.31046242,28.79806942,14255028,422624671.04
2023-12-19,28.59327448,29.0126165,28.16418032,28.5737702,14341032,419189010.21
2023-12-20,28.768813,29.09063362,28.3299667,28.3787274,11847024,348454643.87
2023-12-21,27.87161612,29.34418926,27.793599,28.74930872,19869233,584655671.76
2023-12-22,28.7200523,29.00286436,27.99839394,28.3787274,20553896,598266200.4
