date,open,high,low,close,volume,amount
2023-07-21,5.13,5.17,5.05,5.12,3129270,15957167.82
2023-07-24,5.14,5.22,5.09,5.18,3488673,18041955.95
2023-07-25,5.16,5.21,5.11,5.14,3982448,20512030.35
2023-07-26,5.16,5.2,5.15,5.18,3356544,17373681.04
2023-07-27,5.18,5.18,5.08,5.15,4105675,21034461.33
2023-07-28,5.12,5.13,5.05,5.07,2462407,12536699.35
2023-07-31,5.06,5.13,5.0,5.02,4269920,21578661.0
2023-08-01,5.03,5.04,4.95,4.97,1784000,8902014.0
2023-08-02,4.98,5.04,4.9,4.97,3784541,18765569.2
2023-08-03,4.99,5.02,4.93,5.01,1998583,9976715.31
2023-08-04,4.98,5.06,4.97,4.98,2255300,11287400.0
2023-08-07,5.01,5.01,4.82,4.84,2833841,13789618.06
2023-08-08,4.87,4.97,4.8,4.97,2708314,13294661.0
2023-08-09,4.98,5.14,4.92,5.08,5462382,27643328.46
2023-08-10,5.08,5.09,4.94,4.95,3056852,15251467.09
2023-08-11,4.95,5.1,4.93,5.04,4928323,24871500.24
2023-08-14,5.03,5.14,4.99,5.12,4402188,22404850.79
2023-08-15,5.1,5.16,5.02,5.14,3482624,17776534.49
2023-08-16,5.12,5.16,5.06,5.07,2399040,12257937.35
2023-08-17,5.05,5.12,5.01,5.08,2639168,13351676.12
2023-08-18,5.08,5.1,4.88,4.91,2662900,13200088.0
2023-08-21,4.88,4.93,4.83,4.84,2030918,9910072.12
2023-08-22,4.87,4.89,4.68,4.77,2146078,10228392.06
2023-08-23,4.74,4.79,4.58,4.64,1762884,8270510.34
2023-08-24,4.67,4.71,4.58,4.63,1651170,7655850.09
2023-08-25,4.58,4.71,4.56,4.58,2112200,9791004.0
2023-08-28,4.83,4.84,4.55,4.57,3019597,14016215.72
2023-08-29,4.58,4.75,4.52,4.73,3080275,14424244.5
2023-08-30,4.73,4.87,4.72,4.82,2642688,12734902.33
2023-08-31,4.83,4.93,4.75,4.88,3568700,17280824.0
2023-09-01,4.93,4.94,4.84,4.85,1680024,8190590.4
2023-09-04,4.86,4.94,4.8,4.84,1824083,8820306.06
2023-09-05,4.84,4.89,4.79,4.8,1176100,5675074.0
2023-09-06,4.8,4.82,4.76,4.79,1359549,6507770.73
2023-09-07,4.81,4.81,4.65,4.69,1671033,7901226.67
2023-09-08,5.0,5.05,4.67,4.69,3389501,16054653.69
2023-09-11,4.61,5.16,4.61,5.16,10873009,55049092.14
2023-09-12,5.33,5.45,5.2,5.22,30407738,161515281.0
2023-09-13,5.14,5.3,5.06,5.25,19002540,98638416.97
2023-09-14,5.21,5.41,5.13,5.21,13801723,72183122.6
2023-09-15,5.19,5.39,5.13,5.3,13647110,72025987.22
2023-09-18,5.27,5.47,5.27,5.36,14231907,76368326.15
2023-09-19,5.32,5.45,5.24,5.28,9499710,50586866.96
2023-09-20,5.25,5.33,5.17,5.21,7976970,41707834.88
2023-09-21,5.23,5.26,5.12,5.13,5077666,26201676.34
2023-09-22,5.12,5.16,5.03,5.12,5331854,27086254.5
2023-09-25,5.04,5.2,5.04,5.17,4231047,21809509.14
2023-09-26,5.19,5.24,5.1,5.12,4678442,24090241.46
2023-09-27,5.12,5.22,5.09,5.22,3719021,19249745.66
2023-09-28,5.22,5.24,5.13,5.16,3401949,17606752.86
2023-10-09,5.16,5.23,5.08,5.17,4466200,22927823.0
2023-10-10,5.18,5.18,5.04,5.06,3314600,16831004.0
2023-10-11,5.1,5.29,5.07,5.19,6036834,31401600.14
2023-10-12,5.21,5.38,5.2,5.31,5612925,29765479.67
2023-10-13,5.29,5.45,5.28,5.39,6200988,33399458.8
2023-10-16,5.41,5.5,5.28,5.32,3963217,21305348.95
2023-10-17,5.32,5.35,5.23,5.27,3025344,15922274.76
2023-10-18,5.28,5.3,5.08,5.09,2748850,14150875.56
2023-10-19,5.1,5.12,4.95,4.98,3583200,17959911.0
2023-10-20,4.95,5.0,4.86,4.89,3217900,15773708.0
2023-10-23,4.86,4.99,4.82,4.84,4387200,21378522.0
2023-10-24,4.86,5.03,4.81,5.02,3697744,18287226.0
2023-10-25,5.05,5.36,4.99,5.3,8183579,42772020.06
2023-10-26,5.34,5.42,5.25,5.35,8399345,44701394.46
2023-10-27,5.37,5.54,5.32,5.52,8037561,43901972.49
2023-10-30,5.57,5.69,5.53,5.66,7668140,43242319.0
2023-10-31,5.66,5.7,5.6,5.69,7930929,44832050.48
2023-11-01,5.7,5.92,5.66,5.74,13008499,75245009.7
2023-11-02,5.78,5.8,5.64,5.68,6662511,37938479.7
2023-11-03,5.72,5.72,5.48,5.5,5005338,27805987.46
