date,open,high,low,close,volume,turnover
2024-01-02,20.6132,20.6329,20.2389,20.2488,3197355.0,66142130.58
2024-01-03,20.2488,20.367,19.845,20.0223,3290131.0,67063337.09
2024-01-04,20.0223,20.1306,19.7761,19.9435,2322528.0,46906878.68
2024-01-05,19.8844,20.0912,19.5594,19.6579,3117860.0,62780007.15
2024-01-08,19.6579,19.6776,18.801,18.8306,4571334.0,89020090.52
2024-01-09,19.2541,19.3526,18.6829,18.9094,3963467.0,76455356.53
2024-01-10,18.7715,18.9389,18.4268,18.5351,3608401.0,68384925.22
2024-01-11,18.545,18.9488,18.545,18.87,4256907.0,81193696.94
2024-01-12,18.8207,18.9685,18.6139,18.6139,3144300.0,60064405.0
2024-01-15,18.6139,18.801,18.2791,18.5647,2994713.0,56506542.59
2024-01-16,18.6533,18.7124,17.9147,18.1806,4702560.0,86953443.42
2024-01-17,18.1412,18.1904,17.5306,17.5306,4393526.0,79569643.14
2024-01-18,17.2844,17.6389,16.9397,17.5798,5826725.0,102019233.4
2024-01-19,17.4813,17.7866,17.3631,17.3828,2973700.0,53002422.63
2024-01-22,17.4715,17.5109,16.0336,16.201,5551893.0,94396146.36
2024-01-23,16.073,16.6836,15.9646,16.5162,5375657.0,89260137.97
2024-01-24,16.526,17.0184,16.1419,16.8904,7428347.0,124665896.57
2024-01-25,16.851,18.1609,16.723,18.1215,13580903.0,243102872.78
2024-01-26,17.9245,18.4071,17.7768,17.9245,9790464.0,179969535.68
2024-01-29,18.3677,19.717,18.2988,18.801,25895883.0,505111069.17
2024-01-30,18.2298,19.2048,17.7472,18.0033,18369526.0,341747732.52
2024-01-31,17.7177,18.476,17.5601,17.5798,12608370.0,230560557.04
2024-02-01,17.176,17.9442,16.5457,17.1268,11092547.0,194264527.13
2024-02-02,17.3336,17.9048,16.1518,16.6836,10949358.0,189447667.93
2024-02-05,16.4472,16.6442,15.0192,15.0192,11715626.0,183961708.89
2024-02-06,14.4775,16.073,14.251,15.7775,10960155.0,168752539.44
2024-02-07,15.7381,16.8707,15.6593,16.2601,11691363.0,194683705.64
2024-02-08,16.6245,17.826,16.5359,17.4813,13216327.0,233477209.73
2024-02-19,18.023,18.22,17.3927,17.8457,12090958.0,218660543.83
2024-02-20,17.6291,19.195,17.3927,19.1753,18346024.0,338800802.29
2024-02-21,18.4268,19.5791,18.3283,18.9094,24125635.0,466178924.08
2024-02-22,19.3821,19.6677,18.998,19.5692,23429791.0,460941301.83
