date,open,high,low,close,volume,amount
2023-07-21,93.13,95.14,91.62,94.57,500437,47063881.41
2023-07-24,94.49,96.27,90.0,91.0,804773,73800874.31
2023-07-25,91.9,92.18,87.88,88.55,750399,66901811.41
2023-07-26,88.99,89.42,87.89,88.87,273552,24231801.11
2023-07-27,89.35,90.58,87.02,88.98,533666,47426843.11
2023-07-28,88.6,89.52,87.72,88.66,203183,18023150.18
2023-07-31,89.32,89.96,86.55,87.34,531239,46692992.91
2023-08-01,87.0,89.3,86.8,88.21,272997,24004375.97
2023-08-02,88.0,88.75,87.48,88.13,170438,14995896.65
2023-08-03,88.31,92.49,87.9,92.0,786725,71500065.9
2023-08-04,91.68,93.35,91.26,91.46,281133,25930950.21
2023-08-07,91.54,92.33,88.03,88.38,346772,30886810.58
2023-08-08,88.76,89.39,87.6,87.67,230656,20356522.48
2023-08-09,87.01,89.78,85.46,87.7,456857,39876462.12
2023-08-10,87.65,87.99,85.96,86.17,236237,20422976.43
2023-08-11,87.69,90.44,86.5,86.55,683632,59922192.79
2023-08-14,86.28,86.87,81.52,82.82,766220,63705252.37
2023-08-15,82.99,84.17,82.1,83.79,235766,19623985.36
2023-08-16,83.0,84.84,82.8,83.15,205026,17178637.26
2023-08-17,83.0,83.15,80.8,81.75,288364,23615388.4
2023-08-18,82.75,83.11,79.78,80.08,424115,34371902.25
2023-08-21,80.07,81.49,79.85,80.81,272288,22058262.27
2023-08-22,81.6,81.94,78.8,80.0,353023,28182136.63
2023-08-23,79.99,80.9,77.8,78.19,299427,23777533.75
2023-08-24,78.5,79.36,76.87,77.0,441207,34393649.26
2023-08-25,76.58,79.62,76.58,77.33,354849,27679913.47
2023-08-28,82.44,82.99,78.69,79.13,580883,46906692.42
2023-08-29,78.03,80.39,77.61,79.98,627296,49496760.61
2023-08-30,80.97,81.18,78.79,80.22,427024,34297997.77
2023-08-31,79.16,80.55,77.5,79.16,427487,33673069.81
2023-09-01,78.5,79.31,77.88,78.27,226563,17786417.43
2023-09-04,77.9,78.54,77.78,78.25,254559,19888417.87
2023-09-05,77.81,78.5,76.88,76.88,252394,19550057.72
2023-09-06,76.5,76.89,74.0,74.21,510027,38011898.96
2023-09-07,74.2,75.09,71.52,71.62,554224,40354944.58
2023-09-08,71.55,72.2,71.12,71.12,401169,28687608.3
2023-09-11,64.3,71.0,64.25,68.04,8952106,608458205.13
2023-09-12,68.55,71.29,68.04,68.78,4623251,323721944.7
2023-09-13,68.02,70.14,67.2,67.69,1718803,117613181.87
2023-09-14,67.7,70.27,67.03,69.71,3088415,214264058.72
2023-09-15,69.71,71.22,69.11,69.81,3450625,240932344.31
2023-09-18,69.5,72.89,69.43,71.07,3448247,246933037.4
2023-09-19,71.0,71.28,68.4,68.75,1512117,104630353.99
2023-09-20,68.46,69.03,66.66,66.8,1125552,75916454.14
2023-09-21,66.52,66.67,65.15,65.94,960644,63318987.01
2023-09-22,66.01,68.69,65.72,68.48,1674542,113124579.59
2023-09-25,67.71,70.0,67.55,69.75,3033333,209608786.87
2023-09-26,69.02,70.52,68.01,69.62,2004882,140021510.01
2023-09-27,70.99,75.66,70.51,74.53,7667078,566877690.5
2023-09-28,75.23,75.79,73.5,74.88,3541755,265044882.17
2023-10-09,74.42,75.56,71.89,74.6,2441450,180406405.04
2023-10-10,74.46,75.62,73.06,75.0,2250100,168235524.76
2023-10-11,75.62,77.5,74.38,76.93,2311978,176989672.91
2023-10-12,77.0,80.79,76.8,80.28,3189738,253052266.36
2023-10-13,78.77,80.02,77.22,78.75,2729390,212982255.04
2023-10-16,78.72,78.73,76.48,77.85,778234,60239374.12
2023-10-17,78.37,78.37,76.61,77.57,814825,62958042.73
2023-10-18,77.0,79.0,76.1,78.0,930268,72153648.45
2023-10-19,77.95,78.15,76.2,77.84,1368611,105577596.47
