date,open,high,low,close,volume,turnover
2024-01-02,36.731,36.731,34.8023,34.9506,1720351.0,86502501.79
2024-01-03,34.9506,35.4946,33.7708,33.9615,1935552.0,93970232.77
2024-01-04,34.124,34.124,33.2056,33.5447,1018211.0,48413787.97
2024-01-05,33.5447,34.0392,32.8523,32.923,1077950.0,50937912.31
2024-01-08,32.9795,33.0784,32.167,32.1741,880166.0,40534023.48
2024-01-09,32.2871,32.6828,32.0186,32.273,1010453.0,46288800.79
2024-01-10,32.386,33.4034,31.6866,32.2377,1386313.0,64014839.0
2024-01-11,33.2056,33.7708,32.3507,33.2056,1398969.0,65342825.46
2024-01-12,32.9795,33.4811,32.2942,32.3366,998621.0,46405655.54
2024-01-15,32.1953,32.6757,31.7926,32.3507,843075.0,38543347.99
2024-01-16,32.3507,32.3578,31.1567,31.7502,1097858.0,49197461.97
2024-01-17,31.6513,31.7078,30.2453,30.2453,1207265.0,52701429.58
2024-01-18,30.2806,30.5209,29.2562,30.2806,1217966.0,51487855.27
2024-01-19,30.3442,30.86,29.8921,29.9203,745168.0,31920576.83
2024-01-22,29.9203,29.9203,27.6949,27.8715,1174944.0,48011656.82
2024-01-23,27.9916,28.4367,27.4123,27.9775,1278962.0,50601245.09
2024-01-24,28.2389,28.4155,26.9601,27.9068,1466794.0,57522164.91
2024-01-25,27.9068,29.2562,27.3981,29.016,1346599.0,54245743.33
2024-01-26,28.903,29.2068,26.9742,27.2992,1783686.0,70461901.79
2024-01-29,27.5536,27.9068,26.4232,26.4938,1461333.0,55818416.91
2024-01-30,26.1759,26.3878,25.3281,25.3493,1405631.0,51460463.42
2024-01-31,25.2221,25.6248,23.3781,23.5689,2388225.0,81953074.07
2024-02-01,23.4558,24.3602,23.1662,23.477,1722995.0,57786522.66
2024-02-02,23.6183,23.9716,20.8489,22.0075,2534252.0,80430388.96
2024-02-05,21.4423,21.626,18.9201,19.3581,2777756.0,78875222.93
2024-02-06,19.2168,21.1809,18.369,20.8418,3273063.0,91253202.51
2024-02-07,21.0537,22.7847,20.757,22.3749,3170858.0,99002241.55
2024-02-08,22.3749,24.7841,22.1771,24.2966,3029554.0,102118754.46
2024-02-19,24.233,24.5227,23.1026,23.5971,2307086.0,77147679.3
2024-02-20,23.6678,24.1835,23.0885,23.8939,2162254.0,72808518.91
2024-02-21,23.8091,25.5259,23.4982,24.7275,1923994.0,67564694.19
2024-02-22,24.6357,25.215,24.4308,24.7911,1293828.0,45332029.53
2024-02-23,24.9183,25.6884,24.3743,25.4694,1358333.0,47975956.82
2024-02-26,25.427,26.515,24.9607,25.9851,2312807.0,84146705.73
2024-02-27,25.7237,26.4161,25.3775,26.4161,1672969.0,61181569.57
2024-02-28,26.4797,27.4052,24.2471,24.2471,2969446.0,109609491.0
2024-02-29,24.3036,25.5753,24.2683,25.5612,2328544.0,82348557.43
2024-03-01,25.5612,25.9639,25.3139,25.646,1852168.0,67128592.14
2024-03-04,25.6601,27.0378,25.6107,26.1335,2440000.0,90774177.43
2024-03-05,26.0487,26.0487,25.3493,25.434,2070772.0,75113814.07
2024-03-06,25.4482,26.0699,24.9042,25.3917,1607388.0,57633106.2
2024-03-07,25.1656,25.5753,24.1835,24.2542,2552885.0,89379236.98
2024-03-08,24.2895,24.9183,23.9221,24.3814,3983205.0,137166911.13
2024-03-11,24.664,25.3634,24.2966,25.2716,2607225.0,91690144.35
2024-03-12,25.6531,26.734,25.6177,26.3172,3138247.0,116343909.42
2024-03-13,26.2748,26.621,25.5753,26.3525,2657411.0,98209076.34
2024-03-14,28.2601,28.7546,26.5998,26.7411,5313787.0,205491127.56
2024-03-15,26.7693,28.2601,26.3737,27.0943,4066267.0,157689913.09
2024-03-18,27.822,29.4611,27.4688,29.4611,5127227.0,207775425.11
2024-03-19,29.6731,30.0122,28.7263,28.8606,4860618.0,200293892.84
2024-03-20,28.8464,31.0861,28.2954,30.0404,5551623.0,234248370.31
