date,open,high,low,close,volume,turnover
2024-01-02,15.7001,15.7001,15.473,15.5487,2900702.0,47816369.92
2024-01-03,15.596,15.6907,15.5108,15.6433,2074520.0,34219167.72
2024-01-04,15.6339,15.6528,15.4351,15.473,1392816.0,22850947.2
2024-01-05,15.473,15.5771,15.0944,15.1607,2134102.0,34519707.8
2024-01-08,15.1891,15.1985,14.9052,14.9146,2538602.0,40435203.55
2024-01-09,15.0093,15.1039,14.7632,14.8862,2277154.0,35846141.4
2024-01-10,14.8862,14.9998,14.6023,14.7632,1842600.0,28848861.6
2024-01-11,14.7821,15.0187,14.7443,14.9809,1599506.0,25152515.76
2024-01-12,14.9809,15.2364,14.8579,14.8579,2596065.0,41261074.86
2024-01-15,14.9052,14.9525,14.7254,14.8673,1723700.0,27046670.0
2024-01-16,14.8673,15.5771,14.5834,14.8768,6447872.0,102238429.26
2024-01-17,14.8579,15.5108,14.8484,14.9146,7976047.0,127949696.76
2024-01-18,14.5645,14.5645,14.0251,14.4604,8419507.0,126734557.86
2024-01-19,14.3941,14.8389,14.2238,14.3279,3917600.0,59890768.0
2024-01-22,14.2711,14.2995,13.2112,13.3721,4961560.0,72318989.8
2024-01-23,13.3721,13.5708,12.9651,13.391,3529800.0,49427916.0
2024-01-24,13.391,13.5519,12.88,13.4667,3087000.0,43181931.0
2024-01-25,13.4383,14.044,13.4099,13.9588,3496560.0,51024342.0
2024-01-26,13.8926,14.1197,13.6938,13.7695,2627910.0,38660413.0
2024-01-29,13.9399,13.9588,13.3626,13.4289,2948410.0,42276006.2
2024-01-30,13.4194,13.514,12.9841,13.0408,2526916.0,35391059.2
2024-01-31,13.1355,13.1355,12.1607,12.1986,4736486.0,62348388.36
2024-02-01,12.0377,12.35,11.6213,11.8011,5941745.0,74579354.11
2024-02-02,11.839,12.0945,10.8926,11.309,5354849.0,65370579.99
2024-02-05,11.2617,11.6308,10.2491,10.9021,8844844.0,100963661.02
2024-02-06,10.7412,11.4794,10.3626,11.2333,6780704.0,78118948.39
2024-02-07,11.4604,11.6402,11.0724,11.2238,5621550.0,67323057.5
2024-02-08,11.3374,12.5393,11.1292,12.4257,7520008.0,93879399.95
2024-02-19,12.6623,13.1071,12.615,12.8043,5892463.0,79938648.51
2024-02-20,12.7191,12.8705,12.4825,12.8043,3416463.0,45986842.92
2024-02-21,13.1544,13.7033,13.003,13.0503,7436698.0,104829675.06
2024-02-22,12.7475,13.2112,12.738,13.0976,4058909.0,55836979.89
2024-02-23,13.0882,13.2585,12.8705,13.249,4205919.0,58123926.66
2024-02-26,13.2017,13.4383,13.0787,13.268,3739783.0,52288365.22
2024-02-27,13.2585,13.4383,13.0598,13.4289,3322763.0,46654730.3
2024-02-28,13.4289,13.6938,12.6339,12.6339,6499218.0,90859145.72
2024-02-29,12.3027,13.1071,12.2838,13.0787,4856442.0,66032574.6
2024-03-01,13.249,13.5046,13.1544,13.2774,4369242.0,61406237.86
2024-03-04,13.268,13.2869,12.9557,13.0976,3259030.0,45111691.3
2024-03-05,13.0976,13.0976,12.7191,12.7569,3475700.0,47251083.0
2024-03-06,12.6812,13.0598,12.6434,12.8989,2558100.0,34877831.0
2024-03-07,12.8894,13.1449,12.7948,12.8137,3102450.0,42442719.44
2024-03-08,12.88,13.1733,12.88,13.003,3254400.0,44791600.0
2024-03-11,13.0219,13.3815,13.003,13.3342,4251482.0,59388683.88
2024-03-12,13.268,13.9872,13.2017,13.7222,7453916.0,107043898.52
2024-03-13,13.5803,13.6749,13.4099,13.5803,4974616.0,71120079.52
2024-03-14,13.514,13.5992,13.2774,13.3721,3207681.0,45487400.68
2024-03-15,13.3815,14.2806,13.3437,14.0251,9094985.0,133051618.49
2024-03-18,14.0724,14.309,13.8074,14.1859,9281784.0,137264266.0
2024-03-19,14.1102,14.1102,13.7979,13.7979,4920587.0,72308981.38
2024-03-20,13.8831,13.9872,13.7979,13.902,3177650.0,46608557.79
2024-03-21,13.8358,13.9683,13.6749,13.8642,3214660.0,46918346.9
2024-03-22,13.7885,13.8453,13.3437,13.3815,5163525.0,73772696.3
2024-03-25,13.3815,13.4762,13.0598,13.0787,3135993.0,43992805.07
2024-03-26,13.1071,13.5613,12.8421,13.3815,4548287.0,63488665.86
2024-03-27,13.2585,13.6465,12.8043,12.8043,3913729.0,54243305.52
2024-03-28,12.8326,13.0882,12.7569,12.9462,3295389.0,45042864.8
2024-03-29,12.9651,13.3815,12.9273,13.268,3567700.0,49840205.32
2024-04-01,13.5897,15.0187,13.5519,14.3184,18486612.0,282470634.54
2024-04-02,14.432,15.0471,14.1765,14.943,19331969.0,299782743.49
2024-04-03,14.7632,15.4919,14.3752,14.4982,15317771.0,237892395.54
2024-04-08,14.4036,14.9052,13.9494,13.9494,11713492.0,178506336.76
2024-04-09,14.1292,16.4194,14.1008,16.3342,35914717.0,596209188.43
2024-04-10,15.738,15.8042,15.085,15.1796,24628689.0,401288555.1
2024-04-11,15.0944,15.473,14.8389,15.1512,16071381.0,257945865.61
2024-04-12,14.9052,15.0566,14.4982,14.6591,13541700.0,210373121.0
2024-04-15,14.678,14.82,13.8169,14.1481,10463513.0,157621131.88
2024-04-16,14.1008,14.1102,13.0598,13.3248,10792816.0,154116911.24
2024-04-17,13.7128,14.2522,13.6749,14.1481,8999500.0,133233827.0
2024-04-18,13.921,14.4604,13.7412,14.2522,9623760.0,144320882.58
