date,open,high,low,close,volume,amount
2023-07-24,8.607942,8.68445704,8.49316944,8.5122982,7250359,64923690.1
2023-07-25,8.5601201,8.76097208,8.5122982,8.73227894,16798368,152404578.18
2023-07-26,8.71315018,8.78010084,8.69402142,8.77053646,10402150,95141152.0
2023-07-27,8.78966522,8.87574464,8.69402142,8.77053646,11232300,103171010.0
2023-07-28,8.8470515,8.9426953,8.73227894,8.87574464,15622800,144288337.0
2023-07-31,8.9905172,9.23919108,8.90443778,9.1339829,30307670,286746105.9
2023-08-01,9.1339829,9.1339829,8.93313092,8.9905172,22228900,209404734.0
2023-08-02,8.93313092,9.06703224,8.92356654,8.9426953,14505300,136315433.0
2023-08-03,8.9905172,9.05746786,8.85661588,8.91400216,10878900,101665599.0
2023-08-04,8.9905172,9.00008158,8.78010084,8.81835836,12081500,111790803.0
2023-08-07,8.85661588,8.85661588,8.7035858,8.73227894,8320790,76238402.6
2023-08-08,8.7514077,8.91400216,8.7514077,8.86618026,10260800,94659055.2
2023-08-09,9.00964596,9.22006232,8.8470515,9.00964596,31265700,295843667.41
2023-08-10,8.87574464,8.93313092,8.7035858,8.73227894,17457600,160243622.0
2023-08-11,8.72271456,8.8470515,8.53142696,8.54099134,11052400,99989533.0
2023-08-14,8.44534754,8.62707076,8.33057498,8.56968448,8359000,74186821.0
2023-08-15,8.56968448,8.56968448,8.30188184,8.34970374,7633400,66928272.0
2023-08-16,8.34013936,8.34013936,8.1775449,8.26362432,6491700,55994350.0
2023-08-17,8.20623804,8.3210106,8.13928738,8.30188184,5650300,48584106.0
2023-08-18,8.24449556,8.37839688,8.14885176,8.14885176,6817400,58993868.0
2023-08-21,8.129723,8.28275308,8.05320796,8.05320796,5124000,43623314.0
2023-08-22,8.09146548,8.16798052,7.96712854,8.129723,5630000,47348301.0
2023-08-23,8.11059424,8.11059424,7.8906135,7.90017788,5768200,48004700.0
2023-08-24,7.9384354,7.9384354,7.68976152,7.73758342,7662900,62252514.0
2023-08-25,7.67063276,7.7471478,7.47934516,7.56542458,9235400,73648992.0
2023-08-28,7.86192036,7.91930664,7.651504,7.7471478,11256000,92086416.0
2023-08-29,7.71845466,7.92887102,7.67063276,7.90974226,6088300,49990169.0
2023-08-30,7.90974226,7.91930664,7.78540532,7.7949697,5469500,44844972.0
2023-08-31,7.78540532,7.88104912,7.71845466,7.72801904,5409400,43899896.0
2023-09-01,7.71845466,7.83322722,7.6993259,7.76627656,4576168,37188415.16
2023-09-04,7.78540532,7.92887102,7.76627656,7.92887102,5433401,44833147.25
2023-09-05,7.90974226,7.94799978,7.83322722,7.87148474,3717800,30548739.0
2023-09-06,7.88104912,7.90974226,7.80453408,7.86192036,3468900,28533869.0
2023-09-07,7.86192036,7.92887102,7.76627656,7.77584094,4496300,36890429.0
2023-09-08,7.90017788,7.9862573,7.7949697,7.86192036,6990205,57491343.05
2023-09-11,7.76627656,7.82366284,7.68019714,7.77584094,6652968,53946163.16
2023-09-12,7.78540532,7.7949697,7.68976152,7.6993259,4746868,38295145.72
2023-09-13,7.67063276,7.71845466,7.59411772,7.64193962,3796900,30366788.0
2023-09-14,7.63237524,7.651504,7.52716706,7.5558602,3326500,26341259.0
2023-09-15,7.56542458,7.62281086,7.53673144,7.61324648,3108200,24673167.0
2023-09-18,7.61324648,7.67063276,7.51760268,7.64193962,2361300,18829965.0
2023-09-19,7.61324648,7.64193962,7.53673144,7.5558602,2469252,19558262.28
2023-09-20,7.51760268,7.6036821,7.5080383,7.5080383,2002800,15794577.0
2023-09-21,7.5080383,7.58455334,7.46978078,7.52716706,2718995,21388100.5
2023-09-22,7.51760268,7.67063276,7.5080383,7.67063276,4163100,33189692.0
2023-09-25,7.651504,7.67063276,7.58455334,7.59411772,3255100,25921605.0
2023-09-26,7.58455334,7.6993259,7.56542458,7.59411772,3763200,30040814.0
2023-09-27,7.59411772,7.7471478,7.58455334,7.68976152,5840354,47026215.64
2023-09-28,7.6993259,7.77584094,7.68019714,7.75671218,4046000,32691230.0
2023-10-09,7.75671218,7.75671218,7.67063276,7.72801904,4306600,34749908.0
2023-10-10,7.7949697,7.7949697,7.61324648,7.63237524,4847800,38831559.0
2023-10-11,7.6993259,7.80453408,7.67063276,7.68976152,5294900,42746591.0
2023-10-12,7.75671218,7.75671218,7.64193962,7.72801904,3678600,29652723.0
2023-10-13,7.6993259,7.70889028,7.58455334,7.59411772,3608900,28800158.0
2023-10-16,7.63237524,7.64193962,7.53673144,7.63237524,3215300,25488134.0
2023-10-17,7.61324648,7.651504,7.56542458,7.62281086,2705200,21502697.0
2023-10-18,7.59411772,7.59411772,7.47934516,7.47934516,3430200,26981445.0
2023-10-19,7.4602164,7.651504,7.4123945,7.52716706,3818600,30193692.0
2023-10-20,7.5080383,8.16798052,7.48890954,7.90017788,21238800,175060553.0
2023-10-23,7.83322722,8.0819011,7.75671218,7.95756416,19407005,161100282.05
2023-10-24,8.2253668,8.607942,8.13928738,8.35926812,39626280,348003197.24
2023-10-25,9.19136918,9.19136918,9.19136918,9.19136918,11398356,109538201.16
2023-10-26,10.10954966,10.10954966,9.90869768,10.10954966,83528160,882515664.84
2023-10-27,9.8034895,11.12337394,9.09572538,11.12337394,113988110,1152917552.24
2023-10-30,12.23284202,12.23284202,11.18076022,12.23284202,130247794,1647859623.64
2023-10-31,11.37204782,12.08937632,11.00860138,11.00860138,126664694,1494753540.09
2023-11-01,10.11911404,10.3773523,9.90869768,9.90869768,62672853,654951614.38
2023-11-02,9.56438,10.38691668,9.4209143,9.59307314,80521340,831931529.57
2023-11-03,9.55481562,10.02347024,9.30614174,9.76523198,71697596,718309705.42
2023-11-06,9.66958818,10.12867842,9.60263752,9.91826206,63807466,659473017.15
2023-11-07,10.06172776,10.41560982,9.86087578,10.0904209,74081909,781087194.75
2023-11-08,9.9469552,10.21475784,9.87044016,9.90869768,56374905,589133544.65
2023-11-09,9.72697446,9.90869768,9.33483488,9.43047868,57698415,576037127.34
2023-11-10,9.38265678,9.40178554,9.1339829,9.16267604,33383800,322227388.0
2023-11-13,9.24875546,9.31570612,9.1339829,9.29657736,28258600,272563512.0
2023-11-14,9.28701298,9.36352802,9.14354728,9.31570612,28968200,280199741.0
2023-11-15,9.33483488,9.3730924,9.23919108,9.28701298,22860574,222232156.47
2023-11-16,9.19136918,9.44960744,9.15311166,9.30614174,31948215,311419545.65
2023-11-17,9.21049794,9.38265678,9.20093356,9.3252705,24072786,233859561.05
2023-11-20,9.33483488,9.62176628,9.3252705,9.48786496,36194041,358358420.77
2023-11-21,9.45917182,9.6122019,9.36352802,9.40178554,40052900,398108801.32
2023-11-22,9.35396364,9.49742934,9.24875546,9.24875546,26354400,257731388.0
2023-11-23,9.17224042,9.31570612,9.15311166,9.28701298,19606600,189815450.0
2023-11-24,9.24875546,9.29657736,9.09572538,9.11485414,18435800,176849690.0
2023-11-27,9.09572538,9.11485414,8.91400216,8.9426953,19023300,178518927.0
2023-11-28,8.96182406,8.9905172,8.8948734,8.9426953,14421607,134865267.7
2023-11-29,8.93313092,8.97138844,8.80879398,8.81835836,12950610,120177158.2
2023-11-30,8.81835836,8.86618026,8.67489266,8.74184332,13381700,122372908.0
2023-12-01,8.7514077,8.87574464,8.71315018,8.87574464,10143900,93700078.0
2023-12-04,8.87574464,8.9905172,8.8470515,8.93313092,11671400,108897884.0
2023-12-05,8.90443778,8.92356654,8.7514077,8.78966522,10128499,93604714.76
2023-12-06,8.72271456,8.92356654,8.71315018,8.86618026,10818106,100195797.36
2023-12-07,8.8948734,8.8948734,8.78010084,8.80879398,9256350,85395539.5
2023-12-08,8.81835836,8.86618026,8.5601201,8.57924886,13719405,124257253.5
2023-12-11,8.5601201,8.69402142,8.52186258,8.6557639,8977400,80972543.0
2023-12-12,8.6557639,8.8470515,8.64619952,8.80879398,10275386,93986915.72
2023-12-13,8.76097208,8.86618026,8.74184332,8.74184332,8106300,74594362.0
2023-12-14,8.80879398,8.91400216,8.71315018,8.7992296,9230701,85020883.19
