date,open,high,low,close,volume,amount
2023-07-17,9.62,9.67,9.41,9.47,9405600,89443909.0
2023-07-18,9.56,9.56,9.3,9.31,6463600,60344252.0
2023-07-19,9.34,9.51,9.34,9.45,6316401,59645963.46
2023-07-20,9.44,9.75,9.38,9.41,12303800,117651243.0
2023-07-21,9.52,9.74,9.23,9.27,12410000,116776020.3
2023-07-24,9.16,9.48,9.08,9.41,8269400,77169397.0
2023-07-25,9.43,9.6,9.37,9.52,8127900,77385702.0
2023-07-26,9.5,9.51,9.27,9.33,5881700,54948137.0
2023-07-27,9.27,9.38,9.18,9.2,4510300,41758461.94
2023-07-28,9.19,9.27,9.12,9.21,3690901,33940097.2
2023-07-31,9.15,9.57,9.13,9.54,9611302,90807472.84
2023-08-01,9.59,9.59,9.38,9.43,4901701,46253971.43
2023-08-02,9.43,9.49,9.32,9.4,3839400,35973921.0
2023-08-03,9.4,9.47,9.3,9.38,3607302,33813490.76
2023-08-04,9.42,9.64,9.38,9.58,9500563,90921279.07
2023-08-07,9.58,9.86,9.5,9.75,11827401,115042207.03
2023-08-08,9.7,9.86,9.63,9.74,6331901,61631787.68
2023-08-09,9.73,9.8,9.47,9.48,6540162,62767932.48
2023-08-10,9.58,9.58,9.38,9.41,4409412,41650072.68
2023-08-11,9.41,9.49,9.19,9.21,4762000,44368531.0
2023-08-14,9.1,9.25,9.02,9.22,7485278,68389603.14
2023-08-15,9.35,9.35,8.43,8.51,20675489,181348152.11
2023-08-16,8.6,8.77,8.19,8.34,17272303,145120530.33
2023-08-17,8.21,8.53,8.2,8.43,9490500,79570046.0
2023-08-18,8.45,8.6,8.19,8.21,8852500,74074351.0
2023-08-21,8.24,8.42,8.13,8.16,8382300,69237784.0
2023-08-22,8.22,8.39,8.18,8.39,11710800,97127527.0
2023-08-23,8.35,8.37,8.15,8.16,6907600,56915301.0
2023-08-24,8.22,8.42,8.16,8.28,8839100,73337025.0
2023-08-25,8.24,8.25,7.95,7.99,9503900,76510090.0
2023-08-28,8.33,8.41,8.08,8.12,7817471,64292274.81
2023-08-29,8.07,8.49,8.07,8.47,10466500,87643469.0
2023-08-30,8.53,8.73,8.46,8.65,8945000,76819273.0
2023-08-31,8.8,8.8,8.5,8.58,7150900,61580627.0
2023-09-01,8.61,8.72,8.53,8.57,5099200,43804963.0
2023-09-04,8.56,8.74,8.52,8.73,7590601,65711810.73
2023-09-05,8.71,8.8,8.61,8.64,5683001,49357570.71
2023-09-06,8.64,8.69,8.47,8.66,6443300,55376015.0
2023-09-07,8.64,8.76,8.47,8.5,5775801,49653549.59
2023-09-08,8.5,8.54,8.28,8.29,5117200,42654252.0
2023-09-11,8.34,8.46,8.25,8.38,4820100,40220584.0
2023-09-12,8.39,8.4,8.23,8.24,3302503,27380606.89
2023-09-13,8.28,8.28,7.97,8.06,5893101,47612944.01
2023-09-14,8.07,8.07,7.8,7.87,5703800,45041584.0
2023-09-15,7.92,7.99,7.86,7.95,4112001,32619730.94
2023-09-18,7.93,8.08,7.82,7.99,5812800,46514437.0
2023-09-19,8.02,8.03,7.7,7.75,6532260,50985959.6
2023-09-20,7.8,7.85,7.67,7.71,4288200,33345885.4
2023-09-21,7.76,7.8,7.66,7.66,4515360,34823099.8
2023-09-22,7.63,8.04,7.63,8.03,7647260,60455132.8
2023-09-25,8.07,8.08,7.82,7.94,6820200,53942714.0
2023-09-26,7.92,8.14,7.9,8.05,6858511,55184424.23
2023-09-27,8.05,8.17,7.97,8.08,5143600,41573007.0
2023-09-28,8.08,8.24,8.05,8.18,6130900,50103112.0
2023-10-09,8.18,8.19,7.97,8.0,4529800,36409939.0
2023-10-10,8.1,8.17,8.01,8.02,4345000,35075458.0
2023-10-11,8.09,8.22,7.92,8.06,5541050,44852474.5
2023-10-12,8.15,8.15,7.87,7.9,6286700,49914622.0
2023-10-13,7.87,7.9,7.69,7.72,4689500,36413010.0
2023-10-16,7.72,7.77,7.53,7.58,5052800,38388823.0
2023-10-17,7.58,7.78,7.56,7.67,4475300,34343421.0
2023-10-18,7.68,7.71,7.42,7.49,4602328,34484076.72
2023-10-19,7.45,7.63,7.44,7.49,4639900,35016897.0
2023-10-20,7.46,7.58,7.32,7.35,4611301,34172292.55
2023-10-23,7.26,7.34,7.07,7.11,4160350,29865625.5
2023-10-24,7.15,7.52,7.12,7.48,7290550,53999860.0
2023-10-25,7.44,7.72,7.42,7.62,5323200,40500128.0
2023-10-26,7.5,7.6,7.42,7.53,4087705,30647230.4
2023-10-27,7.47,7.51,7.32,7.45,4622005,34315798.25
2023-10-30,7.39,7.78,7.39,7.74,7821200,59709477.0
2023-10-31,7.76,7.88,7.61,7.7,5684200,43893862.0
2023-11-01,7.71,7.92,7.69,7.82,5126800,40082747.0
2023-11-02,7.82,8.03,7.8,7.8,7890200,62228938.0
2023-11-03,7.76,7.92,7.7,7.87,5862400,45879142.0
2023-11-06,7.9,8.26,7.9,8.21,8379000,68181022.0
2023-11-07,8.24,8.27,8.13,8.22,5620978,46101575.04
2023-11-08,8.16,8.44,8.16,8.28,9693750,80505721.5
2023-11-09,8.31,8.38,8.14,8.17,5897651,48566799.2
2023-11-10,8.17,8.21,8.01,8.06,5207901,42079838.09
2023-11-13,8.1,8.25,8.1,8.22,5684100,46583149.0
2023-11-14,8.2,8.28,8.14,8.25,4015200,33012226.0
2023-11-15,8.31,8.31,8.16,8.18,3489100,28617473.0
2023-11-16,8.17,8.52,8.07,8.25,10176000,84630913.0
2023-11-17,8.19,8.4,8.19,8.32,8568103,70948942.84
2023-11-20,8.48,8.48,8.24,8.32,6846400,56991796.0
2023-11-21,8.32,8.42,8.32,8.36,6283601,52587381.33
2023-11-22,8.3,8.44,8.27,8.29,5377300,44940225.0
2023-11-23,8.27,8.35,8.15,8.3,5882600,48506477.0
2023-11-24,8.23,8.37,8.08,8.14,5160950,42173651.0
2023-11-27,8.01,8.18,7.92,8.03,5009400,40209310.0
2023-11-28,8.07,8.14,7.91,8.05,3881200,31150992.0
