date,open,high,low,close,volume,amount
2023-07-25,14.117805,14.33427801,14.10839313,14.32486614,2657764,40198772.52
2023-07-26,14.31545427,14.31545427,14.08956939,14.117805,2157690,32488412.8
2023-07-27,14.20251183,14.24015931,13.91074386,13.9295676,2278100,34042243.0
2023-07-28,13.9295676,14.14604061,13.81662516,14.08956939,2012848,29943156.64
2023-07-31,14.08015752,14.18368809,13.97662695,14.04251004,2942100,43974759.0
2023-08-01,14.0236863,14.04251004,13.72250646,13.87309638,2834791,41725143.06
2023-08-02,13.87309638,13.89192012,13.66603524,13.76956581,2555112,37302352.49
2023-08-03,13.80721329,14.00486256,13.6472115,13.67544711,2886820,42279137.38
2023-08-04,13.67544711,13.81662516,13.53426906,13.60015215,4096464,59276274.72
2023-08-07,13.60015215,13.63779963,13.44015036,13.48720971,2103304,30211525.28
2023-08-08,13.43073849,13.5530928,13.37426727,13.50603345,2314744,33146264.16
2023-08-09,13.4589741,13.54368093,13.25191296,13.29897231,2552276,36141419.72
2023-08-10,13.2707367,13.44015036,13.25191296,13.38367914,1892528,26879525.52
2023-08-11,13.43073849,13.62838776,13.2707367,13.29897231,2900771,41454774.0
2023-08-14,13.176618,13.39309101,13.11073491,13.39309101,2575084,36207846.24
2023-08-15,13.3648554,13.47779784,13.18602987,13.2707367,3068284,43325821.44
2023-08-16,12.91308564,13.00720434,11.9530749,12.05660547,16056122,207535559.76
2023-08-17,11.84954433,12.12248856,11.66130693,12.08484108,10692992,134847840.48
2023-08-18,12.03778173,12.09425295,11.71777815,11.74601376,6307330,79761703.8
2023-08-21,11.68954254,11.87777994,11.59542384,11.68013067,4865925,60895948.6
2023-08-22,11.71777815,11.81189685,11.55777636,11.7648375,4116372,51062096.72
2023-08-23,11.74601376,11.7648375,11.5766001,11.58601197,2794749,34657069.29
2023-08-24,11.59542384,11.77424937,11.55777636,11.65189506,3199773,39686316.67
2023-08-25,11.65189506,11.68954254,11.37895083,11.37895083,4429680,54120336.2
2023-08-28,11.97189864,12.0471936,11.3883627,11.42601018,5657220,70485573.84
2023-08-29,11.43542205,11.9530749,11.3883627,11.90601555,4374864,54709023.53
2023-08-30,11.88719181,12.3295497,11.86836807,12.07542921,4051172,52154410.68
2023-08-31,12.12248856,12.21660726,11.96248677,12.03778173,2819778,36237601.16
2023-09-01,12.13190043,12.28249035,12.02836986,12.21660726,4476027,57923101.71
2023-09-04,12.19778352,12.31072596,12.11307669,12.21660726,2972260,38542967.92
2023-09-05,12.20719539,12.31072596,12.12248856,12.18837165,2669110,34596373.5
2023-09-06,12.15072417,12.28249035,12.10366482,12.21660726,2815344,36437849.08
2023-09-07,12.26366661,12.26366661,12.03778173,12.0471936,3045284,39192353.08
2023-09-08,12.03778173,12.17895978,11.96248677,12.09425295,2138828,27471970.42
2023-09-11,12.10366482,12.32013783,11.93425116,12.31072596,3699356,47888724.12
2023-09-12,12.235431,12.29190222,12.12248856,12.16013604,2554260,33047684.24
2023-09-13,12.12248856,12.22601913,11.7648375,12.0471936,2768736,35278799.8
2023-09-14,12.02836986,12.05660547,11.79307311,11.88719181,2582336,32607792.32
2023-09-15,11.93425116,11.99072238,11.78366124,11.8589562,1792272,22615866.04
2023-09-18,11.82130872,12.10366482,11.81189685,12.02836986,2246685,28637811.65
2023-09-19,12.00954612,12.00954612,11.7648375,11.80248498,1973388,24838943.28
2023-09-20,11.82130872,11.91542742,11.68013067,11.68954254,2370647,29701613.91
2023-09-21,11.62365945,11.79307311,11.58601197,11.62365945,1720848,21344415.56
2023-09-22,11.66130693,11.94366303,11.54836449,11.90601555,2469560,30950759.9
2023-09-25,11.91542742,12.00954612,11.83072059,11.8589562,2071444,26192109.88
2023-09-26,11.8589562,11.96248677,11.77424937,11.8589562,2349128,29638015.92
2023-09-27,11.87777994,12.0471936,11.80248498,11.93425116,2233080,28372179.2
2023-09-28,11.93425116,12.0471936,11.91542742,12.00954612,1963232,25012629.0
2023-10-09,12.00954612,12.07542921,11.83072059,11.8589562,2845728,36107518.04
2023-10-10,11.93425116,11.93425116,11.54836449,11.58601197,3394308,42064944.04
2023-10-11,11.60483571,11.74601376,11.4824814,11.60483571,2653572,32784397.68
2023-10-12,11.71777815,11.71777815,11.52012888,11.63307132,2047520,25207767.4
2023-10-13,11.52954075,11.61424758,11.41659831,11.43542205,2388984,29121117.52
