date,open,high,low,close,volume,turnover
2024-01-02,7.1325,7.1918,7.1029,7.1029,14061898.0,101732393.5
2024-01-03,7.0732,7.1424,7.0238,7.1127,12320672.0,88355731.54
2024-01-04,7.0732,7.0732,6.9843,7.0337,11103717.0,79036102.94
2024-01-05,7.0535,7.0535,6.8658,6.8954,12330367.0,86700277.22
2024-01-08,6.8559,6.8855,6.767,6.7769,9118058.0,62939340.38
2024-01-09,6.7867,6.8855,6.7373,6.7966,8928360.0,61584231.03
2024-01-10,6.7472,6.7966,6.6386,6.6781,9534000.0,64745914.81
2024-01-11,6.6879,6.8361,6.6781,6.8164,10091670.0,69270370.17
2024-01-12,6.7966,6.8263,6.7077,6.7176,7922435.0,54292815.97
2024-01-15,6.7176,6.8559,6.6386,6.7966,11085191.0,76094794.83
2024-01-16,6.7176,6.7867,6.6287,6.7373,11183078.0,75850043.94
2024-01-17,6.7077,6.7373,6.5793,6.5793,8882754.0,59902554.76
2024-01-18,6.5398,6.6484,6.4015,6.6287,14448260.0,95114381.25
2024-01-19,6.5694,6.6781,6.4311,6.4509,12272220.0,81449866.58
2024-01-22,6.4015,6.4509,5.9668,6.0261,17010404.0,107247717.23
2024-01-23,6.0162,6.194,5.9866,6.1347,13167279.0,81459234.18
2024-01-24,6.1841,6.2039,5.9075,6.1446,14888336.0,91383548.86
2024-01-25,6.1545,6.3817,6.0952,6.3619,17701183.0,112431212.27
2024-01-26,6.3422,6.4212,6.2632,6.3224,13322510.0,85499889.6
2024-01-29,6.3422,6.3817,6.115,6.1347,11043300.0,69421503.0
2024-01-30,6.115,6.1742,5.947,5.9569,9169219.0,56151631.63
2024-01-31,5.9372,5.9866,5.5321,5.5519,16842606.0,97795259.96
2024-02-01,5.542,5.7198,5.4729,5.6112,12484790.0,70608932.1
2024-02-02,5.5914,5.7099,5.1172,5.2852,17386942.0,94916174.24
2024-02-05,5.2358,5.2753,4.7616,4.7715,26205110.0,130045574.66
2024-02-06,4.7023,5.1962,4.4751,5.1073,24363152.0,119585928.78
2024-02-07,5.137,5.3938,5.0481,5.3049,21072543.0,112862115.0
2024-02-08,5.3642,5.8384,5.3642,5.8384,17736444.0,102994669.06
2024-02-19,6.0755,6.0755,5.8087,5.8976,30177892.0,180253831.98
2024-02-20,5.8384,5.9075,5.7099,5.8878,17156526.0,101046579.96
2024-02-21,5.8087,6.0557,5.7692,5.8878,21907071.0,131826194.87
2024-02-22,5.9569,6.0359,5.9075,6.0063,18728110.0,113426634.8
2024-02-23,6.0359,6.1051,5.9767,6.1051,21318608.0,130289642.48
2024-02-26,6.0853,6.2632,6.0656,6.1446,20301606.0,126668899.04
2024-02-27,6.1249,6.4706,6.0853,6.4706,30214303.0,193057562.3
2024-02-28,6.4805,6.52,5.9866,5.9964,35404248.0,225935075.57
2024-02-29,5.9767,6.3126,5.9273,6.2928,23190858.0,145750127.57
2024-03-01,6.3718,6.4212,6.2632,6.3916,25636296.0,165297811.03
2024-03-04,6.4113,6.4212,6.2434,6.4113,22235815.0,143267042.43
2024-03-05,6.3817,6.5101,6.3126,6.3521,20499366.0,132830230.64
2024-03-06,6.3027,6.4015,6.2039,6.3126,17054895.0,108739295.21
2024-03-07,6.3323,6.3817,6.2039,6.2039,15160992.0,96643639.43
2024-03-08,6.2236,6.3126,6.1841,6.2928,11642552.0,73808923.07
2024-03-11,6.2632,6.3718,6.2335,6.3718,12157000.0,77706507.42
2024-03-12,6.3718,6.4706,6.3323,6.4113,14959666.0,96896821.65
2024-03-13,6.4311,6.52,6.4113,6.4805,21555175.0,141187352.92
2024-03-14,6.4904,6.4904,6.273,6.3521,17524900.0,113002334.0
2024-03-15,6.3422,6.4113,6.273,6.4113,11121170.0,71460984.6
2024-03-18,6.4607,6.5299,6.4015,6.52,18377245.0,120441621.75
2024-03-19,6.5398,6.5793,6.4904,6.5002,14106013.0,93260233.14
2024-03-20,6.4706,6.5496,6.4509,6.5299,12330716.0,81396208.45
2024-03-21,6.5496,6.6484,6.4904,6.5398,14585563.0,96907750.92
2024-03-22,6.5299,6.6188,6.4311,6.4607,19589973.0,129350107.12
2024-03-25,6.4212,6.7176,6.3323,6.3817,36114050.0,238973729.49
2024-03-26,6.3323,6.4805,6.2039,6.2829,27367634.0,174907256.35
2024-03-27,6.3224,6.3224,5.9767,5.9767,18069399.0,111910408.81
2024-03-28,6.0063,6.2632,5.9866,6.1644,15925707.0,99267429.41
2024-03-29,6.1742,6.2533,6.0755,6.2335,11531575.0,71867053.87
2024-04-01,6.273,6.3718,6.2632,6.3619,13429564.0,86130265.28
2024-04-02,6.4113,6.4212,6.2632,6.3126,11476609.0,73350651.03
2024-04-03,6.273,6.3126,6.1347,6.2434,11470003.0,72367953.79
2024-04-08,6.2533,6.2533,6.0755,6.0853,9890880.0,61512432.2
2024-04-09,6.0656,6.1841,6.0656,6.1742,7242705.0,44980217.5
2024-04-10,6.1545,6.194,5.9668,6.0063,10300148.0,62950825.11
2024-04-11,5.9767,6.0952,5.947,5.9964,7537059.0,46053076.94
2024-04-12,5.9964,6.0656,5.947,5.947,8323821.0,50542562.07
2024-04-15,5.9273,6.0063,5.6606,5.7692,15585180.0,91686068.8
