date,open,high,low,close,volume,turnover
2024-01-02,34.5007,34.7507,33.8951,33.8951,551800.0,19601877.0
2024-01-03,34.097,34.097,33.3568,33.5298,516000.0,18056562.0
2024-01-04,33.5395,33.9144,33.203,33.5875,499429.0,17421147.9
2024-01-05,33.6452,33.9817,31.9149,32.2225,756222.0,25847502.1
2024-01-08,32.2225,32.6166,31.6457,31.9629,719151.0,24096463.32
2024-01-09,31.9533,32.78,31.7226,32.2513,554792.0,18647286.09
2024-01-10,32.2513,32.7897,31.5976,31.7995,655430.0,21927154.5
2024-01-11,31.8668,32.7704,31.6553,32.607,545400.0,18339681.0
2024-01-12,32.6166,32.9242,32.2513,32.2609,595200.0,20113133.0
2024-01-15,32.0302,32.434,31.6842,32.2513,493300.0,16491146.0
2024-01-16,32.184,32.6743,31.7226,31.9437,400329.0,13350995.22
2024-01-17,32.2994,32.309,31.4535,31.4727,426200.0,14132319.0
2024-01-18,31.4438,31.4438,29.6366,30.2903,1237900.0,38870413.0
2024-01-19,30.2903,30.5114,29.5982,29.9923,490100.0,15265896.0
2024-01-22,30.2999,30.3287,27.3968,28.012,569100.0,17160750.0
2024-01-23,28.6465,28.8772,27.1853,28.56,1442200.0,41920424.0
2024-01-24,28.7715,28.7715,26.7816,27.4929,1114879.0,32013725.26
2024-01-25,27.5025,28.5792,27.0219,28.4927,705000.0,20519896.0
2024-01-26,28.3773,28.6657,27.9159,28.012,438500.0,12914269.0
2024-01-29,28.5311,28.5311,26.945,27.0604,594916.0,16942680.2
2024-01-30,27.3968,27.4929,26.2144,26.522,713100.0,19863871.0
2024-01-31,26.4355,26.4451,24.6091,24.8302,865795.0,22790487.6
2024-02-01,24.6379,25.2339,24.0323,24.388,896100.0,22859440.78
2024-02-02,24.4649,25.5704,22.1097,23.1863,1518776.0,37357195.4
2024-02-05,23.2152,23.2152,21.6291,22.3981,1977779.0,45785399.0
2024-02-06,22.3885,24.5898,20.7447,23.8881,2006510.0,47209867.96
2024-02-07,23.6093,24.09,22.4173,23.4747,1364626.0,32834429.02
2024-02-08,23.244,25.8203,22.2154,25.157,815882.0,20426935.76
2024-02-19,25.0993,25.9549,24.9936,25.3877,743099.0,19669371.75
2024-02-20,25.282,26.7239,24.8686,26.4355,626415.0,16846149.6
2024-02-21,26.4355,27.2911,25.8395,25.9933,676752.0,18800373.6
2024-02-22,25.8876,26.8008,25.8876,26.3971,383430.0,10473551.8
2024-02-23,26.474,27.8486,26.2433,27.4545,758200.0,21433225.93
2024-02-26,27.416,28.1466,26.9642,27.3487,648423.0,18582174.6
2024-02-27,26.9738,27.6756,26.9738,27.6371,450594.0,12869750.73
2024-02-28,27.5891,28.2524,25.5223,25.5511,669596.0,18769682.2
2024-02-29,24.984,26.5605,24.984,26.3394,859401.0,23163289.6
2024-03-01,26.3394,26.5989,25.8491,26.349,581000.0,15849580.0
2024-03-04,26.349,26.6951,25.5415,26.4355,577600.0,15716285.0
2024-03-05,26.6951,26.8296,25.5704,25.753,330456.0,8877333.08
2024-03-06,25.8107,27.3776,25.4934,27.3487,917320.0,25509574.56
2024-03-07,27.2911,28.012,26.7239,27.1565,1218017.0,34785160.72
2024-03-08,27.1469,27.2815,26.3394,26.5989,793600.0,22123411.14
2024-03-11,26.2433,26.82,26.2433,26.6374,364000.0,10059187.0
2024-03-12,26.9065,27.1084,26.2625,27.0604,530800.0,14804612.0
2024-03-13,27.1853,27.3968,26.4355,26.7624,655567.0,18299047.78
2024-03-14,26.7816,27.0604,26.2529,26.647,462100.0,12794977.0
2024-03-15,26.6278,27.2045,26.3874,27.1757,489499.0,13698883.12
2024-03-18,28.1562,28.3581,27.3007,27.5891,637401.0,18294440.68
2024-03-19,27.5795,27.7525,27.3007,27.4449,494586.0,14158246.0
2024-03-20,27.2142,27.7525,27.2142,27.5314,442000.0,12640441.0
